Sparsity (%),Validation Accuracy (%)
0.00,69.78
2.59,69.58
5.36,69.47
8.13,69.58
10.89,69.54
13.66,68.95
16.43,69.98
19.28,68.75
22.05,68.91
24.81,68.83
27.41,68.24
30.17,68.20
32.94,68.12
35.79,53.27
38.56,53.15
41.32,53.23
44.09,52.75
46.86,52.59
49.62,53.23
52.22,52.91
55.07,44.20
57.84,43.60
60.60,44.16
63.37,43.92
66.14,43.88
68.90,43.45
71.76,33.11
74.52,32.71
77.12,32.63
79.88,32.63
