Sparsity (%),Validation Accuracy (%)
0.00,68.44
2.59,68.83
5.36,68.79
8.13,68.83
10.89,68.36
13.66,67.88
16.43,67.92
19.28,58.34
22.05,57.94
24.81,57.70
27.41,58.06
30.17,57.23
32.94,56.36
35.79,47.80
38.56,47.68
41.32,46.77
44.09,46.77
46.86,46.65
49.62,46.18
52.22,45.70
55.07,38.81
57.84,38.77
60.60,37.35
63.37,36.59
66.14,36.12
68.90,35.72
71.76,27.56
74.52,24.67
77.12,23.96
79.88,23.96
